Iteration,Temperature,CurrentCost,BestCost
198,130.264,3866.82,3509.86
199,129.613,3866.82,3509.86
200,128.964,3913.54,3509.86
201,128.32,3913.54,3509.86
202,127.678,3913.54,3509.86
203,127.04,3913.54,3509.86
204,126.404,3877.22,3509.86
205,125.772,3877.22,3509.86
206,125.144,3877.22,3509.86
207,124.518,3877.22,3509.86
208,123.895,3877.22,3509.86
209,123.276,3877.22,3509.86
210,122.659,3877.22,3509.86
211,122.046,3877.22,3509.86
212,121.436,3877.22,3509.86
213,120.829,3877.22,3509.86
214,120.225,3877.22,3509.86
215,119.623,3877.22,3509.86
216,119.025,3877.22,3509.86
217,118.43,3877.22,3509.86
218,117.838,3828.27,3509.86
219,117.249,3828.27,3509.86
220,116.663,3828.27,3509.86
221,116.079,3828.27,3509.86
222,115.499,3828.27,3509.86
223,114.921,3828.27,3509.86
224,114.347,3855.88,3509.86
225,113.775,3855.88,3509.86
226,113.206,3791.89,3509.86
227,112.64,3791.89,3509.86
228,112.077,3791.89,3509.86
229,111.517,3791.89,3509.86
230,110.959,3791.89,3509.86
231,110.404,3791.89,3509.86
232,109.852,3791.89,3509.86
233,109.303,3791.89,3509.86
234,108.756,3791.89,3509.86
235,108.213,3791.89,3509.86
236,107.672,3791.89,3509.86
237,107.133,3791.89,3509.86
238,106.598,3791.89,3509.86
239,106.065,3791.89,3509.86
240,105.534,3791.89,3509.86
241,105.007,3791.89,3509.86
242,104.482,3791.89,3509.86
243,103.959,3791.89,3509.86
244,103.439,3791.89,3509.86
245,102.922,3791.89,3509.86
246,102.408,3791.89,3509.86
247,101.895,3791.89,3509.86
248,101.386,3577.33,3509.86
249,100.879,3577.33,3509.86
250,100.375,3577.33,3509.86
251,99.8728,3577.33,3509.86
252,99.3734,3577.33,3509.86
253,98.8766,3577.33,3509.86
254,98.3822,3577.33,3509.86
255,97.8903,3577.33,3509.86
256,97.4008,3577.33,3509.86
257,96.9138,3577.33,3509.86
258,96.4293,3577.33,3509.86
259,95.9471,3577.33,3509.86
260,95.4674,3577.33,3509.86
261,94.99,3577.33,3509.86
262,94.5151,3577.33,3509.86
263,94.0425,3577.33,3509.86
264,93.5723,3577.33,3509.86
265,93.1044,3577.33,3509.86
266,92.6389,3577.33,3509.86
267,92.1757,3577.33,3509.86
268,91.7148,3641.32,3509.86
269,91.2563,3641.32,3509.86
270,90.8,3641.32,3509.86
271,90.346,3641.32,3509.86
272,89.8943,3641.32,3509.86
273,89.4448,3641.32,3509.86
274,88.9976,3641.32,3509.86
275,88.5526,3641.32,3509.86
276,88.1098,3641.32,3509.86
277,87.6693,3641.32,3509.86
278,87.2309,3641.32,3509.86
279,86.7948,3641.32,3509.86
280,86.3608,3641.32,3509.86
281,85.929,3641.32,3509.86
282,85.4993,3641.32,3509.86
283,85.0718,3641.32,3509.86
284,84.6465,3641.32,3509.86
285,84.2232,3593.62,3509.86
286,83.8021,3593.62,3509.86
287,83.3831,3593.62,3509.86
288,82.9662,3593.62,3509.86
289,82.5514,3593.62,3509.86
290,82.1386,3593.62,3509.86
291,81.7279,3593.62,3509.86
292,81.3193,3593.62,3509.86
293,80.9127,3593.62,3509.86
294,80.5081,3593.62,3509.86
295,80.1056,3593.62,3509.86
296,79.7051,3593.62,3509.86
297,79.3065,3593.62,3509.86
298,78.91,3639.48,3509.86
299,78.5154,3639.48,3509.86
300,78.1229,3639.48,3509.86
301,77.7323,3639.48,3509.86
302,77.3436,3639.48,3509.86
303,76.9569,3639.48,3509.86
304,76.5721,3639.48,3509.86
305,76.1892,3639.48,3509.86
306,75.8083,3639.48,3509.86
307,75.4292,3639.48,3509.86
308,75.0521,3639.48,3509.86
309,74.6768,3639.48,3509.86
310,74.3035,3639.48,3509.86
311,73.9319,3639.48,3509.86
312,73.5623,3639.48,3509.86
313,73.1945,3639.48,3509.86
314,72.8285,3639.48,3509.86
315,72.4644,3639.48,3509.86
316,72.102,3930.39,3509.86
317,71.7415,3834.21,3509.86
318,71.3828,3834.21,3509.86
319,71.0259,3834.21,3509.86
320,70.6708,3834.21,3509.86
321,70.3174,3834.21,3509.86
322,69.9658,3834.21,3509.86
323,69.616,3834.21,3509.86
324,69.2679,3834.21,3509.86
325,68.9216,3834.21,3509.86
326,68.577,3834.21,3509.86
327,68.2341,3834.21,3509.86
328,67.8929,3834.21,3509.86
329,67.5535,3834.21,3509.86
330,67.2157,3834.21,3509.86
331,66.8796,3834.21,3509.86
332,66.5452,3834.21,3509.86
333,66.2125,3834.21,3509.86
334,65.8814,3834.21,3509.86
335,65.552,3834.21,3509.86
336,65.2243,3834.21,3509.86
337,64.8981,3834.21,3509.86
338,64.5736,3834.21,3509.86
339,64.2508,3834.21,3509.86
340,63.9295,3834.21,3509.86
341,63.6099,3834.21,3509.86
342,63.2918,3834.21,3509.86
343,62.9754,3834.21,3509.86
344,62.6605,3834.21,3509.86
345,62.3472,3834.21,3509.86
346,62.0354,3834.21,3509.86
347,61.7253,3834.21,3509.86
348,61.4166,3834.21,3509.86
349,61.1096,3834.21,3509.86
350,60.804,3834.21,3509.86
351,60.5,3834.21,3509.86
352,60.1975,3834.21,3509.86
353,59.8965,3834.21,3509.86
354,59.597,3834.21,3509.86
355,59.299,3834.21,3509.86
356,59.0025,3834.21,3509.86
357,58.7075,3834.21,3509.86
358,58.414,3834.21,3509.86
359,58.1219,3834.21,3509.86
360,57.8313,3834.21,3509.86
361,57.5422,3834.21,3509.86
362,57.2544,3834.21,3509.86
363,56.9682,3834.21,3509.86
364,56.6833,3834.21,3509.86
365,56.3999,3834.21,3509.86
366,56.1179,3834.21,3509.86
367,55.8373,3834.21,3509.86
368,55.5581,3834.21,3509.86
369,55.2803,3834.21,3509.86
370,55.0039,3834.21,3509.86
371,54.7289,3834.21,3509.86
372,54.4553,3834.21,3509.86
373,54.183,3834.21,3509.86
374,53.9121,3834.21,3509.86
375,53.6425,3853.99,3509.86
376,53.3743,3853.99,3509.86
377,53.1074,3853.99,3509.86
378,52.8419,3853.99,3509.86
379,52.5777,3853.99,3509.86
380,52.3148,3853.99,3509.86
381,52.0532,3853.99,3509.86
382,51.793,3853.99,3509.86
383,51.534,3853.99,3509.86
384,51.2763,3853.99,3509.86
385,51.02,3853.99,3509.86
386,50.7649,3853.99,3509.86
387,50.511,3853.99,3509.86
388,50.2585,3853.99,3509.86
389,50.0072,3853.99,3509.86
390,49.7571,3853.99,3509.86
391,49.5084,3853.99,3509.86
392,49.2608,3853.99,3509.86
393,49.0145,3853.99,3509.86
394,48.7694,3853.99,3509.86
395,48.5256,3853.99,3509.86
396,48.283,3853.99,3509.86
397,48.0416,3853.99,3509.86
398,47.8013,3853.99,3509.86
399,47.5623,3853.99,3509.86
400,47.3245,3853.99,3509.86
401,47.0879,3853.99,3509.86
402,46.8525,3853.99,3509.86
403,46.6182,3853.99,3509.86
404,46.3851,3853.99,3509.86
405,46.1532,3853.99,3509.86
406,45.9224,3853.99,3509.86
407,45.6928,3853.99,3509.86
408,45.4643,3853.99,3509.86
409,45.237,3853.99,3509.86
410,45.0108,3853.99,3509.86
411,44.7858,3853.99,3509.86
412,44.5619,3853.99,3509.86
413,44.339,3853.99,3509.86
414,44.1173,3853.99,3509.86
415,43.8968,3853.99,3509.86
416,43.6773,3853.99,3509.86
417,43.4589,3853.99,3509.86
418,43.2416,3831.27,3509.86
419,43.0254,3831.27,3509.86
420,42.8103,3831.27,3509.86
421,42.5962,3831.27,3509.86
422,42.3832,3831.27,3509.86
423,42.1713,3831.27,3509.86
424,41.9605,3831.27,3509.86
425,41.7507,3831.27,3509.86
426,41.5419,3831.27,3509.86
427,41.3342,3831.27,3509.86
428,41.1275,3831.27,3509.86
429,40.9219,3831.27,3509.86
430,40.7173,3831.27,3509.86
431,40.5137,3831.27,3509.86
432,40.3111,3831.27,3509.86
433,40.1096,3831.27,3509.86
434,39.909,3831.27,3509.86
435,39.7095,3831.27,3509.86
436,39.5109,3831.27,3509.86
437,39.3134,3831.27,3509.86
438,39.1168,3831.27,3509.86
439,38.9212,3831.27,3509.86
440,38.7266,3831.27,3509.86
441,38.533,3831.27,3509.86
442,38.3403,3695.84,3509.86
443,38.1486,3695.84,3509.86
444,37.9579,3695.84,3509.86
445,37.7681,3695.84,3509.86
446,37.5792,3695.84,3509.86
447,37.3913,3695.84,3509.86
448,37.2044,3695.84,3509.86
449,37.0184,3695.84,3509.86
450,36.8333,3695.84,3509.86
