-1302.941,-1198.520,306.102,0.438,-0.241,0.866
-1311.661,-1193.539,305.851,0.430,-0.255,0.866
-1320.213,-1188.271,305.740,0.421,-0.269,0.866
-1328.590,-1182.726,305.767,0.412,-0.283,0.866
-1336.787,-1176.923,305.920,0.404,-0.295,0.866
-1344.804,-1170.876,306.183,0.394,-0.307,0.866
-1352.618,-1164.573,306.539,0.384,-0.321,0.866
-1360.186,-1157.983,306.969,0.370,-0.337,0.866
-1367.413,-1151.024,307.453,0.349,-0.358,0.866
-1374.157,-1143.600,307.969,0.321,-0.383,0.866
-1380.241,-1135.628,308.497,0.284,-0.412,0.866
-1385.486,-1127.081,309.013,0.238,-0.440,0.866
-1389.785,-1118.020,309.500,0.190,-0.462,0.866
-1393.158,-1108.573,309.946,0.147,-0.478,0.866
-1395.765,-1098.880,310.350,0.114,-0.487,0.866
-1397.807,-1089.053,310.713,0.091,-0.492,0.866
-1399.506,-1079.157,311.039,0.079,-0.494,0.866
-1401.049,-1069.235,311.330,0.076,-0.494,0.866
-1402.590,-1059.312,311.587,0.079,-0.494,0.866
-1404.259,-1049.407,311.808,0.088,-0.492,0.866
-1406.143,-1039.542,311.991,0.100,-0.490,0.866
-1408.221,-1029.716,312.128,0.106,-0.489,0.866
-1410.368,-1019.901,312.214,0.106,-0.489,0.866
-1412.443,-1010.073,312.239,0.099,-0.490,0.866
-1414.290,-1000.199,312.189,0.083,-0.493,0.866
-1415.712,-990.256,312.048,0.056,-0.497,0.866
-1416.471,-980.245,311.796,0.017,-0.500,0.866
-1416.335,-970.212,311.418,-0.031,-0.499,0.866
-1415.246,-960.242,310.909,-0.075,-0.494,0.866
-1413.456,-950.377,310.282,-0.099,-0.490,0.866
-1411.453,-940.561,309.553,-0.096,-0.491,0.866
-1409.778,-930.690,308.748,-0.067,-0.495,0.866
-1408.867,-920.726,307.893,-0.022,-0.500,0.866
-1408.879,-910.722,307.020,0.021,-0.500,0.866
-1409.633,-900.743,306.150,0.051,-0.497,0.866
-1410.795,-890.802,305.295,0.062,-0.496,0.866
-1412.004,-880.865,304.458,0.056,-0.497,0.866
-1412.918,-870.896,303.637,0.034,-0.499,0.866
-1413.285,-860.891,302.837,0.002,-0.500,0.866
-1412.992,-850.880,302.059,-0.030,-0.499,0.866
-1412.094,-840.904,301.308,-0.057,-0.497,0.866
-1410.769,-830.974,300.583,-0.073,-0.495,0.866
-1409.266,-821.066,299.880,-0.075,-0.494,0.866
-1407.821,-811.147,299.196,-0.067,-0.495,0.866
-1406.607,-801.198,298.529,-0.053,-0.497,0.866
-1405.704,-791.214,297.877,-0.037,-0.499,0.866
-1405.127,-781.207,297.243,-0.021,-0.500,0.866
-1404.836,-771.184,296.628,-0.008,-0.500,0.866
-1404.766,-761.157,296.031,0.001,-0.500,0.866
-1404.846,-751.128,295.454,0.006,-0.500,0.866
-1405.005,-741.098,294.895,0.009,-0.500,0.866
-1405.185,-731.069,294.352,0.009,-0.500,0.866
-1405.346,-721.039,293.820,0.007,-0.500,0.866
-1405.468,-711.008,293.292,0.005,-0.500,0.866
-1405.546,-700.977,292.759,0.003,-0.500,0.866
-1405.594,-690.946,292.209,0.002,-0.500,0.866
-1405.640,-680.918,291.629,0.003,-0.500,0.866
-1405.723,-670.893,291.002,0.006,-0.500,0.866
-1405.878,-660.871,290.310,0.010,-0.500,0.866
-1406.131,-650.859,289.537,0.015,-0.500,0.866
-1406.490,-640.856,288.669,0.021,-0.500,0.866
-1406.946,-630.868,287.696,0.025,-0.499,0.866
-1407.477,-620.896,286.614,0.028,-0.499,0.866
-1408.056,-610.938,285.426,0.030,-0.499,0.866
-1408.656,-600.994,284.138,0.030,-0.499,0.866
-1409.256,-591.059,282.764,0.030,-0.499,0.866
-1409.832,-581.134,281.321,0.028,-0.499,0.866
-1410.360,-571.214,279.829,0.025,-0.499,0.866
-1410.810,-561.295,278.308,0.020,-0.500,0.866
-1411.147,-551.374,276.773,0.013,-0.500,0.866
-1411.332,-541.447,275.234,0.005,-0.500,0.866
-1411.332,-531.520,273.696,-0.005,-0.500,0.866
-1411.125,-521.596,272.161,-0.016,-0.500,0.866
